Player,YRS,is_retained,year,Cap_Pct
david duke,1,1,2022,0.0002
ishmail wainright,1,1,2022,0.0038
admiral schofield,1,1,2022,0.0040999999999999
jerami grant,5,1,2023,0.2028
fred vanvleet,3,0,2023,0.3
kyrie irving,3,1,2023,0.2796
draymond green,4,1,2023,0.1641
cameron johnson,4,1,2023,0.1798
khris middleton,3,1,2023,0.2155999999999999
kyle kuzma,4,1,2023,0.188
dillon brooks,4,0,2023,0.1664
jakob poeltl,4,1,2023,0.1434
max strus,4,0,2023,0.1065
austin reaves,4,1,2023,0.0883
herb jones,4,1,2023,0.0883
grant williams,4,0,2023,0.0911999999999999
rui hachimura,3,1,2023,0.1157
brook lopez,2,1,2023,0.1838
donte divincenzo,4,0,2023,0.0801
pj washington,3,1,2023,0.1239
bruce brown,2,0,2023,0.1617
dangelo russell,2,1,2023,0.1272
coby white,3,1,2023,0.0817
matisse thybulle,3,1,2023,0.0771999999999999
gabe vincent,3,0,2023,0.0771999999999999
caris levert,2,1,2023,0.1131
jock landale,4,0,2023,0.0588
georges niang,3,0,2023,0.0647
dennis schröder,2,0,2023,0.0911999999999999
paul reed,3,1,2023,0.0567999999999999
joe ingles,2,0,2023,0.0809
ayo dosunmu,3,1,2023,0.0476999999999999
tre jones,2,1,2023,0.0728
jevon carter,3,0,2023,0.0455
jeff green,2,0,2023,0.0588
trey lyles,2,1,2023,0.0588
moritz wagner,2,1,2023,0.0588
dwight powell,3,1,2023,0.0294
julian champagnie,4,1,2023,0.0220999999999999
reggie jackson,2,1,2023,0.0368
shake milton,2,0,2023,0.0034999999999999
jalen mcdaniels,2,0,2023,0.0332
nickeil alexanderwalker,2,1,2023,0.0345
seth curry,2,0,2023,0.0294
troy brown,2,0,2023,0.0294
miles bridges,1,1,2023,0.0582
kevin love,2,1,2023,0.0282
russell westbrook,2,1,2023,0.0282
eric gordon,2,0,2023,0.0235
derrick rose,2,0,2023,0.0235
aj green,3,1,2023,0.0139999999999999
josh richardson,2,0,2023,0.0213
josh okogie,2,1,2023,0.0207
christian wood,2,0,2023,0.0199
omer yurtseven,2,0,2023,0.0206
torrey craig,2,0,2023,0.0186
damion lee,2,1,2023,0.0186
thomas bryant,2,0,2023,0.0186
keita batesdiop,2,0,2023,0.0173
drew eubanks,2,0,2023,0.0173
yuta watanabe,2,0,2023,0.0173
mason plumlee,1,1,2023,0.0368
bismack biyombo,1,0,2023,0.0055
ty jerome,2,0,2023,0.0179
cam reddish,2,0,2023,0.0159
jaxson hayes,2,0,2023,0.0159
oshae brissett,2,0,2023,0.0159
taurean prince,1,0,2023,0.0332
dalano banton,2,0,2023,0.0148
orlando robinson,2,1,2023,0.0132
jae crowder,1,1,2023,0.0148
alex len,1,1,2023,0.0148
garrett temple,1,0,2023,0.0148
wesley matthews,1,0,2023,0.0148
deandre jordan,1,1,2023,0.0148
taj gibson,1,1,2023,0.0026
markieff morris,1,1,2023,0.0148
justin holiday,1,0,2023,0.0148
cody zeller,1,0,2023,0.0148
patrick beverley,1,0,2023,0.0148
tristan thompson,1,0,2023,0.0148
kelly oubre jr,1,0,2023,0.0148
boban marjanovic,1,1,2023,0.0148
dario saric,1,0,2023,0.0148
derrick jones,1,0,2023,0.0148
malik beasley,1,0,2023,0.0148
dennis smith,1,0,2023,0.0148
chimezie metu,1,0,2023,0.0016
thanasis antetokounmpo,1,1,2023,0.0148
lonnie walker,1,0,2023,0.0148
mohamed bamba,1,0,2023,0.0148
aaron holiday,1,0,2023,0.0148
sviatoslav mykhailiuk,1,0,2023,0.0148
darius bazley,1,0,2023,0.0037
javonte green,1,0,2023,0.0009
bol bol,1,0,2023,0.0148
mamadi diakite,1,0,2023,0.0019
trendon watford,1,0,2023,0.0148
sandro mamukelashvili,1,1,2023,0.0148
lindy waters,1,1,2023,0.0056
neemias queta,1,0,2023,0.0006
keon ellis,1,1,2023,0.005
dominick barlow,1,1,2023,0.0034
jeff dowtin,1,0,2023,0.0009
trent forrest,1,1,2023,0.0039
luka garza,1,1,2023,0.0009
kendall brown,1,1,2023,0.0081
matt ryan,1,1,2023,0.011
jared butler,1,0,2023,0.0092
lester quinones,1,1,2023,0.004
og anunoby,5,1,2024,0.2606
paul george,4,0,2024,0.35
tyrese maxey,5,1,2024,0.25
pascal siakam,4,1,2024,0.3
immanuel quickley,5,1,2024,0.2312
lebron james,2,1,2024,0.3465999999999999
nic claxton,4,1,2024,0.196
patrick williams,5,1,2024,0.128
isaiah hartenstein,3,0,2024,0.2134
malik monk,4,1,2024,0.1238
miles bridges,3,1,2024,0.1932999999999999
demar derozan,3,0,2024,0.1664
james harden,2,1,2024,0.2394
kentavious caldwellpope,3,0,2024,0.1619
obi toppin,4,1,2024,0.0923
tobias harris,2,0,2024,0.1804
klay thompson,3,0,2024,0.1128999999999999
isaiah joe,4,1,2024,0.0924
aaron wiggins,4,1,2024,0.0781
royce oneale,4,1,2024,0.0667
buddy hield,4,0,2024,0.0625
caleb martin,4,0,2024,0.0653
