Player,year,MIN_PER_GAME,ATTENDANCE_RATE,MAJOR_INJURY
alfarouq aminu,2012,22.37944443939394,0.804878049,0
alan anderson,2012,27.101470588235294,0.207317073,0
alec burks,2012,15.913615818644068,0.719512195,0
alonzo gee,2012,29.00074074603175,0.768292683,0
amare stoudemire,2012,32.83446808510639,0.573170732,0
amir johnson,2012,24.263958328125,0.780487805,0
anderson varejao,2012,31.384133332,0.304878049,0
andray blatche,2012,24.077435896153847,0.317073171,0
andre emmett,2012,7.484999999999999,0.073170732,0
andre iguodala,2012,35.630725806451615,0.756097561,0
andre miller,2012,27.407853530303033,0.804878049,0
andrea bargnani,2012,33.28037635483871,0.37804878,0
andres nocioni,2012,5.059090909090909,0.134146341,0
andrew bogut,2012,30.309861108333333,0.146341463,0
andrew bynum,2012,35.19233333333333,0.731707317,0
andrew goudelock,2012,10.4650416675,0.487804878,0
andris biedrins,2012,15.715319148936171,0.573170732,0
antawn jamison,2012,33.09215384615384,0.792682927,0
anthony carter,2012,8.721805554166666,0.292682927,0
anthony morrow,2012,26.392715048387096,0.756097561,0
anthony parker,2012,25.10398692156863,0.62195122,0
anthony randolph,2012,15.192598038235293,0.414634146,0
anthony tolliver,2012,17.284313725490197,0.62195122,0
armon johnson,2012,13.812037033333333,0.109756098,0
arron afflalo,2012,33.651478499999996,0.756097561,0
austin daye,2012,14.710162602439024,0.5,0
avery bradley,2012,21.381145828125,0.780487805,1
baron davis,2012,20.511321837931035,0.353658537,0
ben gordon,2012,26.889391019230768,0.634146341,0
ben uzoh,2012,20.536203705555558,0.219512195,0
ben wallace,2012,15.810645161290322,0.756097561,0
beno udrih,2012,18.304830508474573,0.719512195,0
bismack biyombo,2012,23.09873015873016,0.768292683,0
blake ahearn,2012,7.5945833325,0.048780488,0
blake griffin,2012,36.24065656060606,0.804878049,0
bobby simmons,2012,14.941726189285715,0.341463415,0
boris diaw,2012,24.995467842105263,0.695121951,0
brad miller,2012,9.722222219999999,0.182926829,0
brandan wright,2012,16.15136054489796,0.597560976,0
brandon bass,2012,31.664745762711863,0.719512195,0
brandon jennings,2012,35.32272727272728,0.804878049,0
brandon knight,2012,32.24992424242424,0.804878049,0
brandon rush,2012,26.423282046153847,0.792682927,0
brendan haywood,2012,21.220030870370373,0.658536585,0
brian cardinal,2012,6.289924243181818,0.536585366,0
brian cook,2012,8.6209375,0.390243902,0
brian scalabrine,2012,4.361309525,0.341463415,0
brian skinner,2012,4.366666667,0.012195122,0
brook lopez,2012,27.19533334,0.06097561,1
byron mullens,2012,22.542435892307694,0.792682927,0
cj watson,2012,23.661428571428573,0.597560976,0
cj miles,2012,20.44017857142857,0.682926829,0
carl landry,2012,24.354959348780486,0.5,0
carldell johnson,2012,7.91777778,0.182926829,0
carlos boozer,2012,29.520808075757575,0.804878049,0
carlos delfino,2012,28.470586425925926,0.658536585,0
carmelo anthony,2012,34.11239394545455,0.670731707,0
caron butler,2012,29.693915349206346,0.768292683,0
cartier martin,2012,23.019509805882354,0.207317073,0
chandler parsons,2012,28.640714285714285,0.768292683,0
channing frye,2012,26.084765625,0.780487805,0
charles jenkins,2012,17.50771241764706,0.62195122,0
charlie villanueva,2012,13.816410253846154,0.158536585,0
chase budinger,2012,22.383333327586204,0.707317073,0
chauncey billups,2012,30.330583335,0.243902439,0
chris andersen,2012,15.196510415625,0.390243902,0
chris bosh,2012,35.20897661403509,0.695121951,0
chris duhon,2012,19.46034392063492,0.768292683,0
chris johnson,2012,6.498580248148148,0.329268293,0
chris kaman,2012,29.190886531914895,0.573170732,0
chris paul,2012,36.34133333333333,0.731707317,0
chris singleton,2012,21.67785353030303,0.804878049,0
chris wilcox,2012,17.18726190357143,0.341463415,0
chris wright,2012,7.7429861125,0.292682927,0
christian eyenga,2012,14.644047614285714,0.085365854,0
chuck hayes,2012,19.248827166666665,0.658536585,0
cole aldrich,2012,6.659294873076923,0.317073171,0
corey brewer,2012,21.821299440677965,0.719512195,0
corey maggette,2012,27.519895834375,0.390243902,0
cory higgins,2012,11.12285087631579,0.463414634,0
cory joseph,2012,9.167586206896551,0.353658537,0
courtney fortson,2012,9.5205,0.12195122,0
courtney lee,2012,30.292729879310347,0.707317073,0
craig brackins,2012,6.285714285714286,0.170731707,0
craig smith,2012,9.870283687234043,0.573170732,0
dj augustin,2012,29.340659729166664,0.585365854,0
dj kennedy,2012,29.433333335,0.024390244,0
dj white,2012,18.928160913793104,0.707317073,0
dajuan summers,2012,13.899888886666668,0.182926829,0
daequan cook,2012,17.354239766666666,0.695121951,0
dahntay jones,2012,16.18389743076923,0.792682927,0
damien wilkins,2012,15.370694445,0.731707317,0
damion james,2012,24.35380952857143,0.085365854,0
dan gadzuric,2012,6.583333335,0.024390244,0
daniel gibson,2012,26.158904762857144,0.426829268,0
daniel orton,2012,11.660625,0.195121951,0
danilo gallinari,2012,31.422015511627908,0.524390244,0
